
From the database:

+------------+----------------------+-------------------------+--------------------------------+
| block_name | total_square_footage | campable_square_footage | description                    |
+------------+----------------------+-------------------------+--------------------------------+
| B01        |                17342 |                   17342 | TEST                           |
| B02        |                54690 |                   54690 |                                |
| B03        |                72713 |                   72713 |                                |
| B04        |                59764 |                   59764 |                                |
| B05        |                44025 |                   44025 |                                |
| B06        |                41966 |                   41966 |                                |
| B07        |                39444 |                   39444 |                                |
| B08        |                40091 |                   40091 |                                |
| B09        |               134682 |                  178085 |                                |
| E01        |                55406 |                   55406 |                                |
| E02        |                61296 |                   62483 |                                |
| E03        |                33059 |                   33059 |                                |
| E04        |                56282 |                   63039 |                                |
| E05        |                42125 |                   42125 |                                |
| E06        |                45618 |                   45618 |                                |
| E07        |                 6217 |                    6217 |                                |
| E08        |                 5977 |                    5977 |                                |
| E09        |                19146 |                   19146 |                                |
| E10        |                50755 |                   50755 |                                |
| E11        |                40277 |                   40277 |                                |
| E12        |                68523 |                   68523 |                                |
| E13        |                21891 |                   21891 |                                |
| E14        |                 2712 |                    2712 |                                |
| E15        |                35808 |                   35808 |                                |
| E16        |                24723 |                   24723 |                                |
| E17        |                79184 |                   79184 |                                |
| E18        |                94486 |                   94486 |                                |
| E19        |                66522 |                   66522 |                                |
| E20        |                56578 |                   42377 |                                |
| E21        |                50601 |                   50601 |                                |
| E22        |               113712 |                  113712 |                                |
| E23        |                81178 |                   81178 |                                |
| E24        |                40501 |                   40501 |                                |
| E25        |                44566 |                   44566 |                                |
| E26        |               210320 |                  210320 |                                |
| E27        |                55056 |                   55056 |                                |
| E28        |                56882 |                   56882 |                                |
| E29        |                12931 |                   12931 |                                |
| E30        |                40033 |                   40033 |                                |
| E31        |               106218 |                  106218 |                                |
| N01        |                52511 |                   52511 |                                |
| N02        |                    1 |                       1 |                                |
| N03        |                54955 |                   54955 |                                |
| N04        |                19024 |                   19024 |                                |
| N05        |                47645 |                   47645 |                                |
| N06        |                36968 |                   36968 |                                |
| N07        |                36984 |                   36984 |                                |
| N08        |                34725 |                   34725 |                                |
| N09        |                38899 |                   38899 |                                |
| N10        |                41329 |                   40011 |                                |
| N11        |                23425 |                   23425 |                                |
| N12        |                47346 |                   46387 |                                |
| N13        |                50382 |                   50382 |                                |
| N14        |                29960 |                   29960 |                                |
| N15        |                61877 |                   61877 |                                |
| N16        |                27045 |                   27045 |                                |
| N17        |                55545 |                   55545 |                                |
| N18        |               140097 |                  140097 |                                |
| N19        |                87499 |                   87499 |                                |
| N20        |                21962 |                   21962 |                                |
| N21        |               135062 |                  134754 |                                |
| N22        |                41050 |                   40039 |                                |
| N23        |               137623 |                   72564 |                                |
| N24        |                45729 |                   37296 |                                |
| N25        |                13078 |                   13078 |                                |
| N26        |                 9171 |                    9171 |                                |
| N27        |                35445 |                   35445 |                                |
| N28        |               176929 |                  176929 |                                |
| N29        |                66820 |                   66820 |                                |
| N30        |                67208 |                   67208 |                                |
| N31        |                41634 |                   56974 |                                |
| N32        |                35048 |                   35048 |                                |
| N33        |                64228 |                   61863 |                                |
| N34        |                31171 |                   20874 |                                |
| N35        |                33449 |                   12326 |                                |
| N36        |                99999 |                   99999 | NEW BLOCK: FIX SQUARE FEET !!! |
| N37        |                99999 |                   99999 | NEW BLOCK: FIX SQUARE FEET !!! |
| OOB        |           2147483647 |              2147483647 |                                |
| Other      |                    0 |                       0 |                                |
| W01        |                50641 |                   50641 |                                |
| W02        |                36787 |                   36787 |                                |
| W03        |                27752 |                   27752 |                                |
| W04        |                47633 |                   47633 |                                |
| W05        |                46653 |                   46653 |                                |
| W06        |                25895 |                   25895 |                                |
| W07        |                54898 |                   54898 |                                |
| W08        |                42167 |                   42167 |                                |
| W09        |                72464 |                   72464 |                                |
| W10        |                43557 |                   43557 |                                |
| W11        |                 5173 |                    5173 |                                |
| W12        |                 8337 |                    8337 |                                |
| W13        |                48878 |                   48878 |                                |
| W14        |                19440 |                   19440 |                                |
| W15        |                12199 |                   12199 |                                |
| W16        |                27938 |                   27938 |                                |
| W17        |                31950 |                   31950 |                                |
| W18        |                21040 |                   21040 |                                |
| W19        |                16354 |                   16354 |                                |
| W20        |                54886 |                   54886 |                                |
| W21        |                22697 |                   22697 |                                |
| W22        |                    1 |                       1 |                                |
| X01        |             99999999 |                99999999 |                                |
| X02        |             99999999 |                99999999 |                                |
| X03        |             99999999 |                99999999 |                                |
| X04        |             99999999 |                99999999 |                                |
| X05        |             99999999 |                99999999 |                                |
| X06        |             99999999 |                99999999 |                                |
| X07        |             99999999 |                99999999 |                                |
| X08        |             99999999 |                99999999 |                                |
| X09        |                37128 |                   14506 |                                |
| X10        |             99999999 |                99999999 |                                |
| X99        |             99999999 |                99999999 |                                |
+------------+----------------------+-------------------------+--------------------------------+
